shooting_team,game_date,duration,shooter_name,position,shoots_handed,hometown,birthdate,jersey_number,shot_key,shot_type,shot_time,shot_quality,goalie_name,is_goal,blocker_name,assist1_name,assist2_name,is_power_play_goal,is_short_handed_goal,is_empty_net_goal,is_penalty_shot_goal,is_insurance_goal,is_game_winning_goal,x_location,y_location,home_state_or_territory,duration_hours
Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Blayre Turnbull,F,R,Stellarton,1993-07-15,19,4,Wrist,2000-01-01 00:01:18,Quality goal,Corinne Schroeder,1,None,Claire Dalton,Kali Flanagan,0,0,0,0,0,0,513,196, NS,2.5166666666666666
Seattle Torrent,2026-01-18,2000-01-01 02:45:00,Alex Carpenter,G,L,North Reading,1994-04-13,31,16,Default,2000-01-01 00:06:20,Non quality blocked,Aerin Frankel,0,Jill Saulnier,Daryl Watts,Savannah Harmon,0,0,0,0,0,0,175,143, MA,2.75
Boston Fleet,2026-01-18,2000-01-01 02:45:00,Megan Keller,C,L,Farmington,1996-05-01,77,36,Slap,2000-01-01 00:12:28,Non quality goal,Corinne Schroeder,1,None,Abby Newhook,Alina MÃ¼ller,1,0,0,0,0,0,423,203, MI,2.75
Boston Fleet,2026-01-18,2000-01-01 02:45:00,Megan Keller,C,L,Farmington,1996-05-01,77,41,Slap,2000-01-01 00:13:50,Non quality blocked,Corinne Schroeder,0,Mariah Keopple,None,None,0,0,0,0,0,0,434,217, MI,2.75
Boston Fleet,2026-01-18,2000-01-01 02:45:00,Haley Winn,F,R,Rochester,2003-07-14,88,43,Default,2000-01-01 00:14:00,Non quality blocked,Corinne Schroeder,0,Lexie Adzija,None,None,0,0,0,0,0,0,389,173, NY,2.75
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Hilary Knight,LD,R,Sun Valley,1989-07-12,5,47,Wrist,2000-01-01 00:09:52,Non quality goal,Raygan Kirk,1,None,Hannah Bilka,Alex Carpenter,1,0,0,0,0,0,48,178, ID,2.5166666666666666
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Mikyla Grant-Mentis,F,L,Brampton,1998-07-15,78,51,Backhand,2000-01-01 00:10:54,Non quality blocked,Raygan Kirk,0,Blayre Turnbull,None,None,0,0,0,0,0,0,70,99, ON,2.5166666666666666
Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Emma Gentry,D,L,Alpena,2002-10-23,12,55,Wrist,2000-01-01 00:12:33,Quality on net,Corinne Schroeder,0,None,None,None,0,0,0,0,0,0,525,170, MI,2.5166666666666666
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Hannah Bilka,G,L,Coppell,2001-03-24,30,57,Tip,2000-01-01 00:13:49,Non quality goal,Raygan Kirk,1,None,Cayla Barnes,None,0,0,0,0,0,0,39,165, TX,2.5166666666666666
Seattle Torrent,2026-01-18,2000-01-01 02:45:00,Julia Gosling,LD,L,London,2001-02-21,55,75,Slap,2000-01-01 00:25:47,Non quality goal,Aerin Frankel,1,None,Brooke Bryant,Cayla Barnes,0,0,0,0,0,0,81,67, ON,2.75
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Julia Gosling,LD,L,London,2001-02-21,55,88,Default,2000-01-01 00:20:13,Quality goal,Raygan Kirk,1,None,Lyndie Lobdell,Jessie Eldridge,0,0,0,0,0,0,86,143, ON,2.5166666666666666
Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Kali Flanagan,D,R,Burlington,1995-09-19,6,109,Wrist,2000-01-01 00:30:30,Non quality goal,Corinne Schroeder,1,None,Savannah Harmon,Emma Maltais,1,0,0,0,0,0,406,153, MA,2.5166666666666666
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Megan Carter,D,L,Milton,2001-05-23,27,160,Default,2000-01-01 00:40:14,Quality goal,Raygan Kirk,1,None,Jessie Eldridge,Emily Brown,0,0,0,0,0,1,93,161, ON,2.5166666666666666
Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Natalie Spooner,F,R,Scarborough,1990-10-17,24,172,Backhand,2000-01-01 00:40:31,Quality goal,Corinne Schroeder,1,None,Clara Van Wieren,Daryl Watts,0,0,0,0,0,0,522,150, ON,2.5166666666666666
Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Jessie Eldridge,F,R,Barrie,1997-12-17,9,203,Wrist,2000-01-01 00:58:14,Quality goal,Raygan Kirk,1,None,Alex Carpenter,Mariah Keopple,0,0,0,0,1,0,99,147, ON,2.5166666666666666
